30 15 63 22 24 5 8 14 25 26 15 4 2 63 66 4
45 74 5 34 59 99 61 49 3 83 61 9 62 59 22 47
60 3 2 7 2 1 4 4 3 3 3 9 19 3 2 1
73 10 28 10 32 8 5 18 51 45 9 86 28 11 18 40
70 121 82 86 11 9 87
110 17 120 134 129
120 66 7 44
180 16 30 62 10 57 15 15 15 20 20 25 25 25 25 35
